CODE,REGION,REGION_EN,LAT,LONG,ROOMS,OCCUP,ISR_NIGHTS,FOREIGN_NIGHTS,TOT_NIGHTS,HOT_REV,GRANTED_ROOMS,ROOMS_8M,GRANTS_8M,ROOMS_9M,ROOMS_10M
3000,ירושלים,Jerusalem,31.768318,35.213711,11125,71.7,1010.9,4169.2,5180.1,2537.7492,2961,2140,0,4300,5700
5000,תל-אביב,Tel Aviv,32.0853,34.781769,8786,75.8,873.1,2911,3784.1,2608.2248,0,4900,0,6800,8100
6700,טבריה,Tiberias,32.796532,35.529701,4567,67.6,827.1,1118.2,1945.3,803.0881,367,830,0,1300,1700
7400,נתניה,Netanya,32.321457,34.853195,2083,59.3,326.4,367.1,693.5,335.6631,932,0,0,0,100
6400,הרצליה,Herzliya,32.16486,34.84417,1601,68.7,224.9,358,582.9,524.1667,0,0,0,0,0
8600,רמת גן,Ramat Gan,32.083549,34.815498,631,67.5,131.6,117.9,249.5,,0,0,0,0,0
7300,נצרת,Nazareth,32.70158,35.298149,1395,71.9,102.8,535.8,638.6,,76,0,0,0,0
2600,אילת,Eilat,29.55036,34.952278,11023,73.3,6202.8,741,6943.8,2660.3854,2345,0,0,600,800
1772,ים המלח,Dead Sea,31.02809,35.361351,4054,69.9,1543.4,547.7,2091.1,1125.9103,40,1260,0,1600,1800
99,מצפה רמון,Mitzpe Ramon,30.61289,34.803082,243,81.8,104.8,52.4,157.1,,0,0,0,0,0
4000,חיפה,Haifa,32.794044,34.989571,2462,65.1,308.5,277.1,585.6,338.7313,482,0,0,200,300
7100,אשקלון,Ashkelon,31.674891,34.575039,619,46.8,90.1,29.7,119.8,,90,0,0,0,0
6200,בת ים,Bat Yam,32.016499,34.750278,212,67.8,26.2,45.3,71.5,,600,0,0,0,0
9300,זיכרון יעקב,Zikhron Ya'akov,32.570833,34.951667,213,62.5,87.2,21.5,108.7,,39,0,0,0,0
9100,נהריה,Nahariyya,33.006439,35.09269,426,34.6,85.3,19.3,104.6,,0,0,0,0,0
8000,צפת,Safed,32.969452,35.497509,319,43.1,54.5,30.4,84.9,,143,0,0,0,0
0,יתר ישראל,rest_of_israel,31.4,34.976389,5859,0,1690.2,784.6,2474.9,2336.6811,3137,0,0,0,300